#ID	Name	SMILES
Hlpr-1179-1	Hlpr-1179-1	NCC(=O)NC(CCC(=O)O)C(=O)O
Hlpr-1180-0	Hlpr-1180-0	NCC(=O)N1CCCC1C(=O)O
Hlpr-1185-1	Hlpr-1185-1	CC(=O)NC(CC(C)C)C(=O)O
Hlpr-1186-1	Hlpr-1186-1	CC(C)C(N)C(=O)O
Hlpr-1188-0	Hlpr-1188-0	CC(N)C(=O)O
Hlpr-1188-1	Hlpr-1188-1	Nc1ccccc1C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O
Hlpr-1192-0	Hlpr-1192-0	N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)c1ccccc1N)C(=O)O
Hlpr-1193-1	Hlpr-1193-1	CC(C)C(NC(=O)c1ccccc1)C(=O)O
Hlpr-1195-0	Hlpr-1195-0	CC(C)CC(NC(=O)c1ccccc1N)C(=O)O
Hlpr-1198-0	Hlpr-1198-0	O=CO
Hlpr-1199-1	Hlpr-1199-1	NC(N)=NCCCC(N)C(=O)NC(CCCN=C(N)N)C(=O)O
Hlpr-1200-0	Hlpr-1200-0	NCC(=O)O
Hlpr-1202-0	Hlpr-1202-0	CC(C)(CO)C(O)C(=O)NCCC(=O)O
Hlpr-1208-0	Hlpr-1208-0	Nc1ccccc1C(=O)NCC(=O)NC(CC(=O)O)C(=O)O
Hlpr-1208-1	Hlpr-1208-1	CC(C)CC(NC(=O)C1CCCN1C(=O)C(C)N)C(=O)O
Hlpr-1210-0	Hlpr-1210-0	CC(O)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O
Hlpr-1210-1	Hlpr-1210-1	NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)O
Hlpr-1211-0	Hlpr-1211-0	CC(C)CC(N)C(=O)NCC(=O)N1CCCC1C(=O)O
